id,name,age,blood_type,organs,contact_info,password,location,Hospital_Name,chronic_diseases,infectious_diseases,cancer_history,current_medications
1,Donor,abc,41,B1,Heart,9901017815,6ca13d52ca70c883e0f0bb101e425a89e8624de51db2d2392593af6a84118090,Bangalore,GM,Diabetes,Nonei,Nonec,Nonem
2,Recipient,qwe,40,B1,Heart,121212121212,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,bangalore,gm,N/A,N/A,N/A,N/A
3,Donor,jsc,32,A1,Heart,7654398659,8d23cf6c86e834a7aa6eded54c26ce2bb2e74903538c61bdd5d2197997ab2f72,bengaluru,sapthagiri hospital,None,Nonei,Nonec,Nonem
4,Recipient,steph,24,B1,Liver,6575657565,8d23cf6c86e834a7aa6eded54c26ce2bb2e74903538c61bdd5d2197997ab2f72,mysuru,dayanand sagar,N/A,N/A,N/A,N/A
5,Donor,lohit,32,B-,Pancreas,6565005454,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,bengaluru,chaitanya,Diabetes,Nonei,Nonec,Nonem
6,Donor,yash,33,A1,Heart,7423549443,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,mangalore,ks hegde,None,Nonei,Nonec,Nonem
7,Donor,lalith,33,A2,Kidney,7423549443,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,mangalore,ks hegde,None,Nonei,Nonec,Nonem
8,Donor,chavana,33,AB1,Kidney,7423549443,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,mangalore,ks hegde,None,Nonei,Nonec,Nonem
9,Donor,kamalesh,33,A1,Heart,7423549449,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Bengaluru,"Sanjeevini Hospital, 8th mile",None,Nonei,Nonec,Painkillers
10,Recipient,himanshu,34,A1,Heart,6575657560,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,mysuru,dayanand sagar,N/A,N/A,N/A,N/A
